reviewID,hotelid,userName,overall,roomComfort,staffMetNeeds,cleanRoom,facilitiesMetExpectations,ageRangeID,tripPurposeID,travelAgent,meetingPlanner,BPGStatusID,guestFrom,arrivalMonth,datePosted,recommend,everyoneShouldKnow,frequencyID,title,comment
10073812,883,dtp1,4,4,5,5,4,6,4,TRUE,FALSE,2,Houston,8/[YEAR-0],9/2/[YEAR-0],TRUE,Convient and a great place to stay.,2,this hotel has great features,The exercise facility was excellent and above the standard of most hotels. The food was very good; i will look forward to the opening of the new restraurant and bar.
10074039,1391,kwaldo,3,4,4,1,4,4,3,FALSE,FALSE,2,"Scottsdale, AZ, USA",8/[YEAR-0],9/2/[YEAR-0],TRUE,Average accommodations and food. Beautiful grounds.,2,Dirty sheets,"Disappointed that one of the beds in my room was dirty, the sheets had clearly not been changed from the prior guests! Hair, stains, other items made that clear."
10075165,127,Emery,5,5,5,5,5,,6,FALSE,FALSE,2,,8/[YEAR-0],9/2/[YEAR-0],TRUE,,,Amazing hotel,"We really loved everything here, great value for money, nothing to compain about except this huge flying cockroach which sometimes hovered around the balcony. Get rid of them!"
10077241,1135,SCLori,4,5,5,5,4,3,8,TRUE,FALSE,2,"San Diego, CA",8/[YEAR-0],9/2/[YEAR-0],TRUE,"Not on the beach, but very close to it.",4,Good for off the beach in Santa Monica,"The Delfina is a nice hotel! The staff was courteous and friendly, the room was fine, the lobby has a great bar, and it's located within just a few blocks of the beach. Also walking distance to Main Street, home of Urth Caffe and some fantastic shops and small restaurants/bars."
10078537,655,Andrew35,2,3,3,2,3,3,2,FALSE,FALSE,4,"Boston, MA",8/[YEAR-0],9/2/[YEAR-0],FALSE,,3,Musty smell all over,"Most common areas, and especially my room, smelled like a moldy wet basement. When I came in from outside it hit me every time. A renovation is seriously in order."
10078933,350,Charliesc9,4,4,5,5,5,,6,FALSE,FALSE,3,,8/[YEAR-0],9/2/[YEAR-0],TRUE,,,Great location,Great place very accommodating and helpful
10079099,94,Tim777,5,5,5,5,5,6,7,FALSE,FALSE,3,"Denver, CO, USA",8/[YEAR-0],9/2/[YEAR-0],TRUE,It's a suites hotel.,4,Always nice to come back to!,"We've stayed at the Belvoir Suites Columbus a number of times and we always look forward to coming back. The suite rooms are really a treat with two living spaces, each with a nice big flat screen TV."
10079274,1162,Jimmy259,3,3,3,3,2,3,6,FALSE,FALSE,2,"Philadelphia, PA, USA",8/[YEAR-0],9/2/[YEAR-0],FALSE,It needs improvement. $10.00 fee to self park is a crock.,3,Needs Improvement,The lobby looks nice; the hallways and rooms are shabby and worn.
10080917,1564,SuZee,4,4,5,3,3,4,2,FALSE,FALSE,2,"Washington, DC",8/[YEAR-0],9/2/[YEAR-0],TRUE,Best service in Tampa!,2,Exceptional Service,"Many thanks to the Belvoir staff for exceeding my customer service expectations. Everyone made a busy week ""worry free"" once I stepped foot into the Belvoir Lobby. My only comment would be that the rooms need a little updating. Drapery, furniture and beds were a little worn."
10081858,460,Disappointed213,3,4,1,5,1,4,6,FALSE,FALSE,1,"Omaha, NE",8/[YEAR-0],9/2/[YEAR-0],FALSE,Don't pay extra for a view! You won't get what you expect.,2,Terrible city view room,"I paid extra for a city view room, but was placed on the 10th floor of a 25 story facility. My view consisted of the bases of the skyscrapers and 1 lone neon sign. Yes, I had a view of the city. But a crappy one at best. Complaining seemed to do no good either. Staff apologized then just looked at me. No offers to try to accomodate me at all. I'll never stay here again nor recommend this hotel to anyone."
10082263,90,Chloe[YEAR-0],4,5,5,5,5,3,8,FALSE,FALSE,2,"Albany, NY, USA",8/[YEAR-0],9/2/[YEAR-0],TRUE,Good location and friendly staff,1,Clean & Comfy,"We took a quick 4 day get away to tour Washington DC. While I was told the nearest Metro was ""around the corner"", it was actually about a 7-10 minute walk from the hotel. The hotel does offer a shuttle service to Ronald Reagan International Airport, where there is a Metro stop, however the shuttle runs on the 1/2 hour. The hotel and our room was clean. There are no safes in the room, the ""safety deposit box"" is at the main desk. Everyone was friendly and helpful. Bed was comfy, especially after a day of touring DC and being on our feet all day. Aside from construction at a nearby site, the hotel was very quiet. The room was very clean. Be aware that the shuttle runs on the hour after 8 pm and the last pickup from the airport is 11 pm. Overall, we would definitely stay there again."
10084034,1135,Bruce,4,5,2,5,4,4,4,FALSE,FALSE,4,"Carlsbad, CA, USA",8/[YEAR-0],9/2/[YEAR-0],TRUE,"The ocean-facing room with a big balcony was really nice. Made me feel like I was on vacation, even though it was a business trip.",4,Where is the coffee?,"I know, it sounds petty, but I was here on a business trip, so gotta have my cup of joe! They told me the hotel was out of coffee packets for the rooms' coffee makers. So we'll bring you some. Never showed up. So I got dressed and went down to the Club Lounge. No coffee there either!! Weird..."
10084235,1113,Traveler66,5,5,5,5,5,6,8,FALSE,FALSE,2,"Oxford Charter Township, MI, USA",8/[YEAR-0],9/2/[YEAR-0],TRUE,"It is not on the Lauderdale water, but it is a",2,Great Place,We had a great stay here. It was during the Isaac storm. The food was very good
10084599,350,ITZI,5,5,5,5,4,6,7,FALSE,FALSE,2,"Winnipeg, MB, Canada",8/[YEAR-0],9/2/[YEAR-0],TRUE,,4,President,"The location was good, the club floor was a big plus,"
10086664,1784,Sierra23,5,5,5,5,5,1,5,FALSE,FALSE,2,"Fort Worth, TX, USA",8/[YEAR-0],9/2/[YEAR-0],TRUE,,2,A stay to remember,"We had a little hassle trying to get checked in, but it was well worth it, it's a beautiful hotel. Very peaceful and quiet just exactly what we were looking for. I look forward to staying here again."
10090489,1162,smart73,5,5,5,5,5,3,6,TRUE,FALSE,3,KissimmmI,8/[YEAR-0],9/2/[YEAR-0],TRUE,The Staff are AWESOME !!!!!!,4,Above and Beyond,"Let me start by saying, both the resort and BPG are Awesome! They went beyond for my family to correct a reservation error. I truly can't put into words how much we enjoyed and enjoy this property , we stay here all the time. Pool area is great for kids with activities, the restaurant has great food, and the bar makes great drinks. But front desk is who I want to thank, Lisa went out of her way for our family. Thank You,"
